Familia,Serie,Metodo_FS,Metrics_Source_File,Pkl_Source_Dir,Features_Source_File,NFeatures,Trivial,MSE_Baseline,MSE_FS,RMSE_Baseline,RMSE_FS,MAE_Baseline,MAE_FS,MAPE_Baseline,MAPE_FS,theil_Baseline,theil_FS,ARV_Baseline,ARV_FS,IA_Baseline,IA_FS,POCID_Baseline,POCID_FS,PctGain
SVR,airlines,sem_FS,results/baseline_metrics.csv,data/result/chamados_pct10/,,13.000000,False,364.557381,364.557381,19.093386,19.093386,13.942524,13.942524,3.158018,3.158018,0.129897,0.129897,0.057242,0.057242,0.984876,0.984876,78.571429,78.571429,0.000000
SVR,airlines,ftest,results/chamados_pct10_fs_svr_ftest/metrics.csv,data/result/chamados_pct10_fs_svr_ftest/,results/chamados_pct10_fs_svr_ftest/selected_features.csv,1.000000,False,364.557381,489.033480,19.093386,22.114101,13.942524,17.164504,3.158018,3.786156,0.129897,0.141511,0.057242,0.077176,0.984876,0.979552,78.571429,78.571429,-15.820744
SVR,airlines,mutualinfo,results/chamados_pct10_fs_svr_mutualinfo/metrics.csv,data/result/chamados_pct10_fs_svr_mutualinfo/,results/chamados_pct10_fs_svr_mutualinfo/selected_features.csv,9.000000,False,364.557381,499.585134,19.093386,22.351401,13.942524,18.818756,3.158018,4.066011,0.129897,0.176272,0.057242,0.086637,0.984876,0.978054,78.571429,71.428571,-17.063581
SVR,airlines,rfembedded,results/chamados_pct10_fs_svr_rfembedded/metrics.csv,data/result/chamados_pct10_fs_svr_rfembedded/,results/chamados_pct10_fs_svr_rfembedded/selected_features.csv,1.000000,False,364.557381,489.033480,19.093386,22.114101,13.942524,17.164504,3.158018,3.786156,0.129897,0.141511,0.057242,0.077176,0.984876,0.979552,78.571429,78.571429,-15.820744
SVR,airlines,lasso,results/chamados_pct10_fs_svr_lasso/metrics.csv,data/result/chamados_pct10_fs_svr_lasso/,results/chamados_pct10_fs_svr_lasso/selected_features.csv,13.000000,False,364.557381,364.557381,19.093386,19.093386,13.942524,13.942524,3.158018,3.158018,0.129897,0.129897,0.057242,0.057242,0.984876,0.984876,78.571429,78.571429,0.000000
SVR,airlines,rfecv,results/chamados_pct10_fs_svr_rfecv/metrics.csv,data/result/chamados_pct10_fs_svr_rfecv/,results/chamados_pct10_fs_svr_rfecv/selected_features.csv,1.000000,False,364.557381,489.033480,19.093386,22.114101,13.942524,17.164504,3.158018,3.786156,0.129897,0.141511,0.057242,0.077176,0.984876,0.979552,78.571429,78.571429,-15.820744
SVR,austres,sem_FS,results/baseline_metrics.csv,data/result/chamados_pct10/,,8.000000,True,444.311250,444.311250,21.078692,21.078692,16.022086,16.022086,0.091637,0.091637,0.161547,0.161547,0.045443,0.045443,0.988530,0.988530,87.500000,87.500000,0.000000
SVR,austres,ftest,results/chamados_pct10_fs_svr_ftest/metrics.csv,data/result/chamados_pct10_fs_svr_ftest/,results/chamados_pct10_fs_svr_ftest/selected_features.csv,8.000000,True,444.311250,444.311250,21.078692,21.078692,16.022086,16.022086,0.091637,0.091637,0.161547,0.161547,0.045443,0.045443,0.988530,0.988530,87.500000,87.500000,0.000000
SVR,austres,mutualinfo,results/chamados_pct10_fs_svr_mutualinfo/metrics.csv,data/result/chamados_pct10_fs_svr_mutualinfo/,results/chamados_pct10_fs_svr_mutualinfo/selected_features.csv,5.000000,True,444.311250,302.389893,21.078692,17.389361,16.022086,13.682829,0.091637,0.078222,0.161547,0.119312,0.045443,0.028993,0.988530,0.992474,87.500000,87.500000,17.502653
SVR,austres,rfembedded,results/chamados_pct10_fs_svr_rfembedded/metrics.csv,data/result/chamados_pct10_fs_svr_rfembedded/,results/chamados_pct10_fs_svr_rfembedded/selected_features.csv,3.000000,True,444.311250,283.734850,21.078692,16.844431,16.022086,13.121899,0.091637,0.075024,0.161547,0.111336,0.045443,0.027608,0.988530,0.992888,87.500000,87.500000,20.087874
